ID,NOMBREAPELLIDO,CODIGOCIUDAD,FECHAINGRESO,TELEFONO,CORREO,CARRERA
150,ARDANYS,1,8/31/2020,3136505,ardanys@outlook.co,Matemáticas
151,LEISSI,15,3/23/2020,3300673,leissi@hotmail.com,Geología 
152,MARGGE,12,8/24/2016,3088114,margge@hotmail.co,Ingeniería Industrial
153,MIJARES,12,2/7/2023,2691985,mijares@gmail.co,Ingeniería eléctrica
154,CLAUDIOA,1,9/1/2019,3097000,claudioa@gmail.com,Ingeniería de sistemas
155,MARYJHEN,1,2/27/2018,3814737,maryjhen@outlook.com,Ingeniería eléctrica
156,LAURELY,14,null,3645585,laurely@outlook.co,Ciencia política
157,EDILAMAR,5,1/12/2022,2888316,edilamar@hotmail.com,Ciencia política
158,DANILEIMY,14,7/9/2017,3905128,danileimy@hotmail.co,Administración de empresas
159,KEYSHAN,8,7/30/2019,3725323,keyshan@gmail.co,Ciencia política
160,LHAYS,1,6/23/2022,3204441,lhays@gmail.com,Geología 
161,JONNHYS,6,5/11/2021,2957561,jonnhys@outlook.com,Ingeniería Industrial
162,BETNI,5,9/16/2022,2599720,betni@hotmail.com,Estadística
163,ESTARLIS,5,11/24/2017,2872093,estarlis@hotmail.co,Ingenieria electrónica
164,JHAMILLTON,5,5/31/2020,3671242,jhamillton@gmail.co,Ingeniería Industrial
165,ENOEMIT,2,11/3/2018,3807275,enoemit@gmail.com,Ingeniería Industrial
166,GRELEN,15,6/14/2016,3308246,grelen@outlook.com,Ingeniería de sistemas
167,NELMA,2,1/9/2021,3133709,nelma@outlook.co,Estadística
168,ELICIN,4,7/21/2023,2852531,elicin@hotmail.com,Ingenieria química
169,LEZSLY,1,4/25/2018,3509419,lezsly@hotmail.co,Estadística
170,JONATHAND,15,10/17/2020,3829162,jonathand@gmail.co,Ingenieria electrónica
171,ANGIRLY,7,12/26/2020,2944173,angirly@gmail.com,Estadística
172,YORSIDIS,7,12/9/2018,3863112,yorsidis@outlook.com,Geología 
173,NATIBERLY,6,5/19/2021,3814484,natiberly@outlook.co,Ingeniería de sistemas
174,FRANCHELIS,15,2/24/2023,3358613,franchelis@hotmail.com,Ingenieria electrónica
175,ESMERAY,2,3/29/2016,3879014,esmeray@hotmail.co,Ingeniería de sistemas
176,TAMBORINO,7,6/1/2016,3105803,tamborino@gmail.co,Ingeniería de sistemas
177,EDULCAINA,7,4/16/2020,3661100,edulcaina@gmail.com,Ciencia política
178,MENGUAN,2,9/7/2020,3222671,menguan@outlook.com,Ingenieria química
179,NILLIBIA,4,11/7/2019,3576964,nillibia@outlook.co,Ingenieria química
180,SUCEY,5,12/11/2019,3762896,sucey@hotmail.com,Ingeniería de sistemas
181,RUI,5,5/9/2017,2902935,rui@hotmail.co,Estadística
182,JANGERY,12,8/31/2016,3687465,jangery@gmail.co,Geología 
183,JOUVERT,1,8/15/2018,2994901,jouvert@gmail.com,Ciencia política
184,ARGEIDY,5,8/23/2017,3014989,argeidy@outlook.com,Ingeniería eléctrica
185,ESDENE,1,7/28/2022,3640792,esdene@hotmail.com,Ingeniería Industrial
186,ADULIS,2,2/8/2017,3141486,adulis@hotmail.co,Matemáticas
187,ELIGER,5,12/4/2017,3521128,eliger@gmail.co,Administración de empresas
188,ZETLER,2,2/11/2020,3151028,zetler@gmail.com,Ingeniería Industrial
189,SOLANGEE,4,12/1/2021,3131572,solangee@outlook.com,Ingenieria electrónica
190,MADIT,1,11/4/2019,2662821,madit@outlook.co,Ingenieria química
191,ADALIR,8,2/9/2019,3319406,adalir@hotmail.com,Ingeniería de sistemas
192,GERSONH,7,5/16/2017,2785244,gersonh@hotmail.co,Administración de empresas
193,RAYMANDO,7,6/28/2018,3521416,raymando@gmail.co,Ingeniería Industrial
194,CARMENSZA,5,3/17/2017,2640997,carmensza@gmail.com,Geología 
195,BADIH,12,2/3/2020,3354820,badih@outlook.com,Ingeniería de sistemas
196,NARIEIDA,2,1/18/2021,2890740,narieida@outlook.co,Ingeniería eléctrica
197,NEITY,1,12/21/2017,2898422,neity@hotmail.com,Administración de empresas
198,LORYS,10,9/24/2016,2819340,lorys@hotmail.co,Ingeniería Industrial
199,OSWEIMAR,14,11/16/2020,3786805,osweimar@gmail.co,Matemáticas
200,LLANO,7,3/2/2020,3177975,llano@gmail.com,Administración de empresas
201,HAIDN,10,5/17/2021,3465020,haidn@outlook.com,Ingeniería eléctrica
202,JOHEDASAN,6,8/5/2022,2747717,johedasan@outlook.co,Ingeniería de sistemas
203,AURE,2,9/15/2022,3069711,aure@hotmail.com,Ingeniería Industrial
204,DAURIALIS,5,3/15/2018,2712329,daurialis@hotmail.co,Matemáticas
205,DANGELY,2,5/2/2023,3641515,dangely@gmail.co,Ingeniería Industrial
206,AYVER,1,2/21/2017,3513786,ayver@gmail.com,Ingenieria electrónica
207,JHEERLLEY,12,11/10/2017,2846894,jheerlley@outlook.com,Ingenieria química
208,YARENE,6,9/9/2019,2792158,yarene@hotmail.com,Ingenieria electrónica
209,MILVIAN,12,3/27/2017,3004331,milvian@hotmail.co,Ingenieria electrónica
210,GELLILUT,7,4/3/2018,3567065,gellilut@gmail.co,Geología 
211,LISANDIS,12,7/2/2019,3683685,lisandis@gmail.com,Ingenieria electrónica
212,TAYBER,4,2/18/2023,3722890,tayber@outlook.com,Administración de empresas
213,ZURIS,14,8/12/2022,3638867,zuris@outlook.co,Ingenieria electrónica
214,YORCHI,4,3/19/2016,3045342,yorchi@hotmail.com,Ingeniería eléctrica
215,ADARVIL,5,6/24/2021,3494474,adarvil@hotmail.co,Matemáticas
216,ZORAGNNI,7,3/13/2016,3579921,zoragnni@gmail.co,Estadística
217,JAIBER,15,4/4/2022,3513463,jaiber@gmail.com,Ingeniería Industrial
218,JEDISSON,4,7/12/2018,3564554,jedisson@outlook.com,Estadística
219,ENOLA,6,10/24/2018,2740847,enola@outlook.co,Administración de empresas
220,PHILIPHO,1,1/27/2019,3311748,philipho@hotmail.com,Geología 
221,JELSICA,8,5/25/2022,3421416,jelsica@hotmail.co,Geología 
222,EXTOVISON,7,4/30/2023,3268967,extovison@gmail.co,Ingenieria química
223,CONCILIA,2,8/20/2017,2838151,concilia@gmail.com,Ciencia política
224,DENYSE,1,8/15/2016,2635637,denyse@outlook.com,Ingenieria química
225,MARESI,12,10/26/2019,3902147,maresi@outlook.co,Ingenieria química
226,GHYBHY,6,4/20/2020,3788819,ghybhy@hotmail.com,Ingenieria química
227,WHILBERTH,5,11/22/2021,3187567,whilberth@hotmail.co,Ingeniería Industrial
228,YEHIKO,6,12/9/2017,3429861,yehiko@gmail.co,Administración de empresas
229,NEIYER,5,10/15/2020,2806310,@gmail.com,Ciencia política
230,ELCILIA,15,9/23/2018,3784726,elcilia@outlook.com,Geología 
231,CEDNEY,14,1/19/2019,3085214,cedney@hotmail.com,Ingenieria electrónica
232,JASMIRIS,1,4/6/2019,2924946,jasmiris@hotmail.co,Administración de empresas
233,ERCIRIA,4,7/26/2018,null,erciria@gmail.co,Ingeniería Industrial
234,MARDAINE,2,2/18/2021,3493979,mardaine@gmail.com,Ingeniería eléctrica
235,GOZZOLY,4,9/8/2020,2698754,gozzoly@outlook.com,Ingenieria electrónica
236,GIOMER,5,2/21/2021,3352193,giomer@outlook.co,Ingeniería Industrial
237,MAICHEEL,2,8/18/2016,2667299,maicheel@hotmail.com,Ingeniería eléctrica
238,BETHA,1,6/16/2019,3534571,betha@hotmail.co,Ingeniería eléctrica
239,HARDWIK,1,3/30/2020,3582386,hardwik@gmail.co,Ingeniería de sistemas
240,ENNIZ,5,12/7/2016,3349751,enniz@gmail.com,Geología 
241,JEROMITO,7,5/5/2023,3355945,jeromito@outlook.com,Geología 
242,LEISNE,1,11/25/2017,2690189,leisne@outlook.co,Ciencia política
243,HESENIA,12,3/20/2017,3144592,hesenia@hotmail.com,Ingeniería de sistemas
244,JULAINE,8,3/10/2023,3367355,julaine@hotmail.co,Ingeniería eléctrica
245,FRIGSI,8,8/1/2016,3370596,frigsi@gmail.co,Ingeniería de sistemas
246,MIRYEIS,10,5/6/2023,3367110,miryeis@gmail.com,Administración de empresas
247,MILKREY,2,4/9/2021,3261301,milkrey@outlook.com,Ingeniería eléctrica
248,QUILLIAN,4,1/17/2021,3212813,quillian@outlook.co,Geología 
249,SABITRIZ,2,3/10/2020,3250775,sabitriz@hotmail.com,Ingeniería de sistemas
250,HOYORVIS,5,8/10/2016,2799784,hoyorvis@hotmail.co,Ingeniería Industrial
251,ARSIER,5,10/20/2019,3104845,arsier@gmail.co,Ciencia política
252,ADNER,2,7/3/2023,2826591,adner@gmail.com,Matemáticas
253,YULITZE,2,5/2/2018,3339572,yulitze@outlook.com,Estadística
254,SORLENI,4,5/10/2018,3324516,sorleni@hotmail.com,Ingenieria electrónica
255,QUANLIANG,1,8/10/2017,3874085,quanliang@hotmail.co,Geología 
256,DELFER,10,4/21/2016,3381323,delfer@gmail.co,Ingeniería Industrial
257,ZYUDITH,6,11/11/2018,2631230,zyudith@gmail.com,Administración de empresas
258,MARDALLY,5,6/21/2017,2816039,mardally@outlook.com,Ingeniería de sistemas
259,GREHYMA,10,10/8/2019,2699151,grehyma@outlook.co,Administración de empresas
260,NINCE,15,1/7/2023,3824733,nince@hotmail.com,Geología 
261,DIYANITZA,7,12/8/2020,3578398,diyanitza@hotmail.co,Estadística
262,HAMINSON,15,9/8/2018,2983870,haminson@gmail.co,Administración de empresas
263,GUIOVANN,15,5/6/2019,3601853,guiovann@gmail.com,Ingeniería de sistemas
264,QUENDRA,6,2/27/2017,2652778,quendra@outlook.com,Ingeniería Industrial
265,SHERLLY,6,6/11/2019,2727942,sherlly@outlook.co,Ingeniería de sistemas
266,LAYBIS,15,6/11/2016,2889345,laybis@hotmail.com,Administración de empresas
267,YICEILA,4,12/26/2018,2585684,yiceila@hotmail.co,Ciencia política
268,JACZER,12,7/23/2021,3706102,jaczer@gmail.co,Matemáticas
269,DELBIN,8,6/26/2018,3540096,delbin@gmail.com,Administración de empresas
270,AGNES,5,10/31/2019,3142747,agnes@outlook.com,Matemáticas
271,HENNY,5,4/24/2019,3694629,henny@outlook.co,Ingeniería de sistemas
272,MAG,2,3/12/2017,3358948,mag@hotmail.com,Administración de empresas
273,TARWIN,6,1/9/2021,3924646,tarwin@hotmail.co,Administración de empresas
274,LUDSEDYD,5,7/13/2019,3218676,ludsedyd@gmail.co,Administración de empresas
275,DIONISIA,14,12/21/2021,3594547,dionisia@gmail.com,Ciencia política
276,LANDERLEDY,1,4/14/2019,3674741,landerledy@outlook.com,Geología 
277,SILKING,5,3/29/2018,2999792,silking@hotmail.com,Ingenieria química
278,LARIDE,8,9/2/2016,3085763,laride@hotmail.co,Ingeniería Industrial
279,DREICY,4,7/11/2019,45824,dreicy@gmail.co,Ingeniería de sistemas
280,MALYORI,14,3/1/2023,3191317,malyori@gmail.com,Ingenieria electrónica
281,SEHERYS,12,4/11/2019,3447654,seherys@outlook.com,Ingenieria química
282,LUSAIDY,1,7/22/2021,3514444,lusaidy@outlook.co,Ingenieria química
283,ARJADYS,6,12/28/2022,2848826,arjadys@hotmail.com,Matemáticas
284,YAXIBER,2,9/20/2019,3351258,yaxiber@hotmail.co,Estadística
285,JUSSELLY,5,10/11/2022,2706181,jusselly@gmail.co,Estadística
286,MENELIA,7,11/8/2018,3267941,menelia@gmail.com,Ingeniería Industrial
287,NEXIS,1,9/20/2021,2697885,nexis@outlook.com,Ingenieria electrónica
288,SULEBY,5,4/5/2018,2939059,suleby@outlook.co,Ciencia política
289,JEIBELTH,4,1/14/2022,2582276,jeibelth@hotmail.com,Ingenieria química
290,MARYENIS,10,4/5/2023,2587475,maryenis@hotmail.co,Geología 
291,SIREY,5,2/21/2018,2794586,sirey@gmail.co,Matemáticas
292,MARGELE,5,7/12/2021,3048507,margele@gmail.com,Ingeniería de sistemas
293,ILEX,2,10/11/2022,3858850,ilex@outlook.com,Matemáticas
294,MAURCIO,2,7/18/2017,3313182,maurcio@outlook.co,Administración de empresas
295,DUGLAS,15,3/21/2022,3545029,duglas@hotmail.com,Ciencia política
296,KEEY,12,7/14/2021,2759737,keey@hotmail.co,Ingeniería eléctrica
297,ROWENS,15,11/23/2020,3834661,rowens@gmail.co,Ciencia política
298,YUNELY,15,2/7/2022,2791384,yunely@gmail.com,Administración de empresas
299,CONTRERA,5,11/18/2018,3639251,contrera@outlook.com,Ciencia política
300,BEDUIT,15,6/11/2017,3263319,beduit@hotmail.com,Administración de empresas
301,LIBANIEL,5,7/4/2018,3172606,libaniel@hotmail.co,Ingenieria química
302,NACARID,7,6/28/2022,3397808,nacarid@gmail.co,Ingenieria química
303,GEORGGETTE,2,8/5/2020,3176979,georggette@gmail.com,Ingenieria electrónica
304,JESSEE,8,12/7/2022,2941029,jessee@outlook.com,Geología 
305,ROMELIO,12,7/27/2017,3260184,romelio@outlook.co,Ingeniería Industrial
306,SIRLEHY,6,8/13/2016,3551653,sirlehy@hotmail.com,Ingenieria química
307,GRACIAELA,12,4/25/2020,3719194,graciaela@hotmail.co,Ciencia política
308,SLEIMEN,14,5/14/2020,3610670,sleimen@gmail.co,Administración de empresas
309,ACDRID,5,7/5/2022,3286375,acdrid@gmail.com,Geología 
310,SIBELIA,15,null,3814405,sibelia@outlook.com,Ingeniería de sistemas
311,MERGIS,10,7/16/2019,2964598,mergis@outlook.co,Geología 
312,ESNA,12,1/8/2019,2815381,esna@hotmail.com,Ingeniería eléctrica
313,MAYINSEN,12,3/16/2017,2872103,mayinsen@hotmail.co,Administración de empresas
314,JERELLY,2,12/28/2019,3043447,jerelly@gmail.co,Ciencia política
315,ALFRENIJAIL,6,4/18/2019,3813453,alfrenijail@gmail.com,Ingenieria química
316,ADAYR,7,12/17/2016,3829985,adayr@outlook.com,Ciencia política
317,ILFO,12,8/8/2020,3487349,ilfo@outlook.co,Ingenieria química
318,EUMAR,12,4/9/2021,2762773,eumar@hotmail.com,Matemáticas
319,JAXISLEN,1,5/10/2018,3758625,jaxislen@hotmail.co,Ingenieria electrónica
320,PRAGER,8,10/1/2021,3525344,prager@gmail.co,Matemáticas
321,BLUDYS,14,4/8/2018,3661077,bludys@gmail.com,Ingeniería de sistemas
322,RUMELDA,6,9/25/2017,2744140,rumelda@outlook.com,Ingeniería de sistemas
323,BERENILDA,1,5/25/2017,3500358,berenilda@hotmail.com,Ciencia política
324,DAIYEN,5,7/25/2022,2952884,daiyen@hotmail.co,Estadística
325,YOHARLY,2,5/3/2016,2627481,yoharly@gmail.co,Matemáticas
326,ADIANY,7,10/19/2022,3720585,adiany@gmail.com,Estadística
327,CECELIS,5,4/28/2023,3218892,cecelis@outlook.com,Geología 
328,NADRILLED,1,3/20/2016,2714854,nadrilled@outlook.co,Ingenieria química
329,ANALIBAR,15,7/2/2022,3677076,analibar@hotmail.com,Administración de empresas
330,NIMCI,5,11/2/2017,3110265,nimci@hotmail.co,Geología 
331,WALBERTA,1,10/30/2020,2894817,walberta@gmail.co,Ingeniería de sistemas
332,OTO,15,5/1/2017,3855933,oto@gmail.com,Ingeniería Industrial
333,KAROLI,5,11/3/2017,3871183,karoli@outlook.com,Administración de empresas
334,MARSHEL,12,5/9/2019,3325414,marshel@outlook.co,Estadística
335,KARYM,2,7/21/2022,3357320,karym@hotmail.com,Ingenieria electrónica
336,CRISTHIE,8,9/17/2019,3849633,cristhie@hotmail.co,Ciencia política
337,ATILIANO,10,5/1/2021,3421053,atiliano@gmail.co,Ingenieria química
